trail_id,trail_name,park_code,city_name
10006208,The Beehive Loop Trail,ACAD,Bar Harbor
10012464,Delicate Arch Trail,ARCH,Moab
10235471,Notch Trail,BADL,Interior
10004933,Lost Mine Trail,BIBE,Big Bend National Park
10034730,Biscayne National Park Walk,BISC,Miami
10456353,Tomichi Trail,BLCA,Cimarron
10268140,Sheep Creek Connector Trail,BRCA,Bryce
10032796,Mesa Arch Trail,CANY,Moab
10004146,Hickman Bridge Trail,CARE,Torrey
10236113,Juniper Ridge Trail,CAVE,Carlsbad
10035721,Potato Harbor Trail,CHIS,Ventura
10015941,Arch Point Loop Trail,CHIS,Malibu
10007467,Weston Lake Loop Trail,CONG,Hopkins
10038157,The Watchman Peak Trail,CRLA,Crater Lake
10235835,Brandywine Gorge Trail,CUVA,Northfield
10402715,Thimble Peak Trail,DEVA,Beatty
10236076,Horseshoe Lake Trail,DENA,Denali National Park
10038836,Shark Valley Trail,EVER,Miami
10262541,Bartlett Cove Forest Loop Trail,GLBA,Gustavus
10005697,Grinnell Glacier Trail,GLAC,Babb
10004120,Grandview Trail Loop,GRCA,Grand Canyon
10000719,Cascade Canyon Trail,GRTE,Moose
10236212,Wheeler Peak Trail via Stella Lake Trail,GRBA,Baker
10028402,High Dune Trail,GRSA,Mosca
10365517,Gold Mine Trail,GRSM,Tallassee
10004318,Marcus Trail,GUMO,Salt Flat
10005997,Pipiwai Trail and Waimoku Falls,HALE,Hana
10010442,Kilauea Iki Trail and Crater Rim Trail,HAVO,Pahala
10041922,Sunset Trail,HOSP,Hot Springs National Park
10236223,Greenstone Ridge Trail,ISRO,Mohawk
10011170,Ryan Mountain Trail,JOTR,Twentynine Palms
10347459,Brooks Falls,KATM,King Salmon
10020048,Harding Ice Field Trail,KEFJ,Seward
10031466,Mist Falls Trail,SEKI,Hume
10028848,Lassen Peak,LAVO,Old Station
10236102,Green River Bluffs Trail,MACA,Mammoth Cave
10033876,Petroglyph Point Trail,MEVE,Mesa Verde National Park
10007491,Tolmie Peak Trail,MORA,Ashford
10027158,Blue Lake Trail,NOCA,Stehekin
10032304,Hurricane Hill via Hurricane Ridge,OLYM,Port Angeles
10236025,Blue Mesa Trail,PEFO,Holbrook
10013977,Condor Gulch Trail to High Peaks Trail Loop,PINN,Paicines
10026705,Emerald Lake Trail,ROMO,Estes Park
10034910,Bridal Wreath Falls Trail,SAGU,Tucson
10026952,Moro Rock Trail,SEKI,Three Rivers
10234159,Old Rag Mountain Loop,SHEN,Syria
10236044,Wind Canyon Trail,THRO,Fairfield
10269389,Blind Ash Bay Trail,VOYA,Kabetogama
10026500,Rankin Ridge Interpretive Trail,WICA,Custer
10038315,Beaver Ponds Loop Trail,YELL,Gardiner
10026910,Vernal and Nevada Falls via the Mist Trail,YOSE,Yosemite Valley
10012660,The Watchman Trail,ZION,Springdale
